id,score
226470121563095040,18
256122701884817419,334
257105883559886848,41
268855497682190336,4
292285308580659200,32
298173563603648513,2
302486608396156928,26
306140874335846411,23
314138115251896320,6
319473346595258369,31
320298518130458624,898
320677214654038017,55
323727902245912578,4
330512497951899649,5
342887154017632257,33
349003721793077251,3
349537799722237964,2
356134481452597250,85
359314447992487936,27
362911597183893505,6
381102853131075586,9
382988984449630219,145
386482662908493824,2
390551076295671808,29
403594293903753217,32
406530697403039746,84
407313156722130944,3
414823176971878400,9
416784745414787074,111
417731106394079235,8
422412096463175680,115
424310292411973654,146
424977521692639253,20
427183306862231573,20
429759315285377026,28
431517866483777536,36
431795358536826890,77
437029429407907843,21
440782684197879809,2
444645441980858368,48
445700328260632576,2
447793347503849483,50
448516647742078996,250
449468151026155520,62
450936922613874689,4
451472015120138260,69
463660046296023051,9
469885050004045824,4
475039477316714517,24
481428035556605952,20
481558030560002070,4
484508659116671008,33
485623087744811008,3
493519656485781535,5
501055704812093470,68
506548230507593748,83
513475066139508737,149
523816595991298065,171
528840772368465922,2
530713623853531154,2
531094512819240960,5
531485809212129290,210
534715144794537984,102
535130368404226049,19
539421186459959296,24
544805031837171713,2
547508900220370979,12
547887945441476608,11
552568337629052948,112
556153712532258826,9
559137890467053608,18
570267487393021969,6
570411065784139814,2
571295050303012901,27
573891831524229141,2
574048571364605992,2
576604482708832257,207
584092935914651658,3
585923691490312194,8
594328037416239137,123
594699772250685440,109
596167663156461578,9
597761579492311041,44
605729651087638573,12
605825763920445480,7
614113475664543764,5
624816573919789056,9
632306871423860736,36
634476639203360779,168
635923043985653801,14
644692456201519105,31
645301647278604298,2
645983752467775500,129
646469411099770890,0
651747408589619210,6
662031045348032534,6
666022783620349993,4
670696559020605440,17
673604158347018241,2
682046515736346644,15
690411161606291496,100
691529916382183424,31
694501324557123604,3
700340069994725376,199
702737197312245810,18
708691496953708626,231
709924914391416944,4
716419046614106293,2
717330882331017236,2
717380188417032215,87
718107192691261512,34
721326063464218635,254
729124925998104606,4
732881183108759613,28
737784120976867370,44
740227876128948294,11
743973275901886486,21
747500781845872775,602
748966690846671049,5
750246315811799082,20
765804971550965781,2
766721780718108702,6
767014335146754058,10
772307395267133440,6
772654415805939753,120
773757935200239647,26
775874076983689246,6
776902205399367741,10
782057419223597056,61
783614706698158090,27
787755177238200350,17
791187748652187658,3
795048346955677748,9
797894861143277588,6
812499432342814771,17
829834616068243486,27
834371688963506217,11
847586539315265566,2
868130222288015410,63
871746718981570600,4
881327897472819261,2
884589309037011015,1
884924921820614677,6
899952552295166002,33
901406923851718668,34
910101008833720370,15
947829191968174081,41
948715918022803506,25
955181790157488208,17
956203203534393394,6
968243197350391828,4
974714890461798440,45
990991977833197578,466
1005328523684221038,31
1010325578949345300,22
1021534070934601748,102
1025423349100318720,412
1028781362322354278,3
1030870708647104582,45
1030948883104272444,29
1045091362653089933,9
1045384866201608283,9
1052583979389288490,22
1071072832555061248,2
1083530421255544873,3
1089116046276968458,16
