id,carrier,player,approver,amountOfCarries,carryDifficulty,carryType,attachmentLink,time
99,726660898793717800,757429783352049685,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1066886104197906502/transcript-closed-t3-eman-lilahk124.html,2023-01-23 02:03:36
100,726660898793717800,608497108508606503,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1066897755450134598/transcript-closed-t3-eman-13-pochachong25.html,2023-01-23 02:50:28
101,256122701884817419,610129673673900044,,3,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1066945051609022534/transcript-closed-f6-0-wenimchaindasuma.html,2023-01-22 19:30:04
102,726660898793717800,1011728665895256115,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1066951685144064020/transcript-closed-t3-eman-20-metalparrotx2.html,2023-01-23 06:24:52
103,726660898793717800,757429783352049685,884589309037011015,10,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1066912645111881758/transcript-t4-eman-lilahk124.html,2023-01-23 03:49:44
104,1025423349100318720,487881581596246037,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067059409995444234/transcript-closed-f7-22-zyphrn.html,2023-01-23 13:32:35
105,990991977833197578,487881581596246037,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067059409995444234/transcript-closed-f7-22-zyphrn.html,2023-01-23 13:32:47
106,1025423349100318720,288333890404483072,,2,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067066699863560282/transcript-closed-f6-20-hunterhmg.html,2023-01-23 14:01:44
107,990991977833197578,792069182157226004,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067115134402691152/transcript-closed-f7-0-fxrly.html,2023-01-23 17:11:52
108,256122701884817419,532604641905606666,,3,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067127619558068324/transcript-closed-f6-17-kattesen.html,2023-01-23 18:03:06
109,726660898793717800,238800153832718337,,2,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1065101954969239673/transcript-closed-t3-eman-30-oocrafty.html,2023-01-18 03:54:50
110,256122701884817419,547508900220370979,356134481452597250,12,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067138258728923286/transcript-closed-f6-19-px11.html,2023-01-23 18:45:10
111,834371688963506217,864787969947598848,,2,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067139247527706694/transcript-t4-eman-11-ymsking.html,2023-01-23 18:49:56
112,834371688963506217,864787969947598848,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067139247527706694/transcript-t4-eman-11-ymsking.html,2023-01-23 18:39:14
113,256122701884817419,547508900220370979,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067142615834828800/transcript-closed-f7-19-px11.html,2023-01-23 19:01:58
114,726660898793717800,623415037368729602,,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067150264957681814/transcript-t4-eman-28-fatkittenshart.html,2023-01-23 19:33:57
115,834371688963506217,539074313144238080,356134481452597250,11,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067160746057805926/transcript-t4-eman-20-solid_hax.html,2023-01-23 20:07:32
116,834371688963506217,698180929021018183,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067161896303738921/transcript-t4-eman-resi.html,2023-01-23 20:19:35
117,834371688963506217,527237619378290718,356134481452597250,5,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067162214752063660/transcript-closed-t3-eman-25-rektbydarkwolf.html,2023-01-22 15:24:59
118,834371688963506217,527237619378290718,356134481452597250,8,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067162214752063660/transcript-closed-t3-eman-25-rektbydarkwolf.html,2023-01-23 20:21:18
119,834371688963506217,720342702712946710,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067167783739195522/transcript-t4-eman-25-marcodimango.html,2023-01-23 20:40:46
120,574048571364605992,767773319025655888,,2,F4,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067184833329115227/transcript-closed-f4-11-fuzzy207.html,2023-01-23 21:41:26
121,834371688963506217,698180929021018183,356134481452597250,5,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067185708940410950/transcript-t4-eman-resi.html,2023-01-23 21:54:50
122,834371688963506217,561665884087779368,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067191807630397571/transcript-closed-t3-eman-14-smily2.html,2023-01-23 22:19:05
123,834371688963506217,410464422272958474,,3,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067197259726475414/transcript-t4-eman-14-therird.html,2023-01-23 22:40:45
124,292285308580659200,886162573534310430,,2,F5,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067199319796621352/transcript-closed-f5-19-nishpro.html,2023-01-23 22:48:23
125,292285308580659200,865665384903606273,,3,F5,S,https://cdn.discordapp.com/attachments/796770232340578365/1067203293144698971/transcript-closed-f5-11-_s4_.html,2023-01-23 23:04:00
126,292285308580659200,767773319025655888,,1,F5,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067203324572618792/transcript-closed-f5-11-fuzzy207.html,2023-01-23 23:04:27
127,834371688963506217,561665884087779368,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067205987414589522/transcript-t4-eman-14-smily2.html,2023-01-23 23:12:22
128,834371688963506217,561665884087779368,,2,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067205987414589522/transcript-t4-eman-14-smily2.html,2023-01-23 23:12:39
129,834371688963506217,410464422272958474,,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067213592786632765/transcript-t4-eman-14-therird.html,2023-01-23 23:42:00
130,990991977833197578,974714890461798440,,4,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067219865762537581/transcript-closed-f6-16-xidion.html,2023-01-23 21:10:03
131,256122701884817419,974714890461798440,884589309037011015,15,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067219865762537581/transcript-closed-f6-16-xidion.html,2023-01-22 17:51:53
